Gene_Symbol,Uniprot_ID,Polar,Neutral,Hydrophobicity,0-2.78,2.95-4.0,4.03-8.08,4.9-6.2,8.0-9.2,10.4-13.0,0-1.08,0.128-0.186,0.219-0.409,Positive,Neutral,Negative,Buried,Exposed,Intermediate,Helix,Strand,Coil,(-0.20~0.16),(-0.3~ -0.52),(-0.98~ -2.46),High (5-21%),Medium (1.12-3.64%),Low (0-0.83%),High (1.21-2.02),Medium (0.63-1.12),Low (0.14-0.29),High (4-30%) ,Medium (1-3%) ,Low (0-1%) ,High (25-100%) ,Medium (5-18%) ,Low (0-4%) ,High (0.25-11) ,Medium (-0.25 – 0.17) ,Low (-0.3 - -0.8) ,High (1.18-2.07) ,Medium (0.84-1.16) ,Low (0.41-0.8) ,High (0.95-1.8) ,Medium (0.5-0.95) ,Low (0-0.5) ,High (?2.25) ,Medium (1.6-2.3) ,Low (?1.5) ,High  (?1.4) ,Medium (0.79-1.21) ,Low (?0.76) ,High (477-1197) ,Medium (95-423) ,Low (<95) ,Low (75-105),Medium (115-155),High (165-204),(-4.2 - -3.3),(-3.07 – 2.26),(-1.78 - -1.05),>1,1,0,>1,1,0,High (9-65 g/100g) ,Medium (1.14-7.44 g/100g) ,Low (0.048-0.82,Very flexible,Moderately flexible,Less flexible,Target
MYH7,P12883,43.75,31.25,25,36.25,35,28.75,27.5,28.75,43.75,32.5,38.75,28.75,17.5,63.75,18.75,36.25,43.75,20,51.25,26.25,22.5,35,33.75,31.25,18.75,68.75,12.5,38.75,51.25,10,25,31.25,43.75,31.25,25,43.75,43.75,42.5,13.75,41.25,43.75,15,33.75,51.25,15,33.75,41.25,25,43.75,48.75,7.5,43.75,48.75,7.5,23.75,42.5,33.75,33.75,32.5,33.75,31.25,61.25,7.5,7.5,31.25,61.25,11.25,41.25,47.5,26.25,38.75,35,1
SLC17A8,Q8NDX2,37.5,32.5,30,41.25,36.25,22.5,31.25,30,38.75,27.5,50,22.5,15,68.75,16.25,41.25,37.5,21.25,41.25,27.5,31.25,31.25,33.75,35,16.25,73.75,10,37.5,55,7.5,22.5,26.25,51.25,28.75,20,51.25,38.75,40,21.25,38.75,42.5,18.75,45,38.75,16.25,33.75,37.5,28.75,40,45,15,41.25,45,13.75,18.75,51.25,30,31.25,36.25,32.5,23.75,57.5,18.75,11.25,43.75,45,12.5,47.5,40,23.75,35,41.25,1
MEF2A,Q02078,40,27.5,32.5,28.75,36.25,35,37.5,21.25,41.25,25,40,35,18.75,68.75,12.5,33.75,40,26.25,48.75,31.25,20,28.75,35,36.25,12.5,70,17.5,35,55,10,28.75,31.25,40,30,30,40,41.25,32.5,26.25,36.25,37.5,26.25,43.75,41.25,15,35,38.75,26.25,48.75,42.5,8.75,50,33.75,16.25,30,43.75,26.25,38.75,33.75,27.5,35,47.5,17.5,13.75,50,36.25,18.75,46.25,35,26.25,46.25,27.5,1
TNNT2,P45379,65,25,10,32.5,53.75,13.75,11.25,23.75,65,28.75,57.5,13.75,7.5,37.5,55,21.25,65,13.75,71.25,11.25,17.5,28.75,56.25,15,17.5,75,7.5,23.75,66.25,10,10,63.75,26.25,61.25,12.5,26.25,65,28.75,6.25,57.5,36.25,6.25,23.75,72.5,3.75,25,23.75,51.25,18.75,75,6.25,18.75,78.75,2.5,11.25,18.75,70,17.5,23.75,58.75,16.25,78.75,5,3.75,15,81.25,6.25,21.25,72.5,60,17.5,22.5,1
PTGS1,P23219,18.75,40,41.25,46.25,32.5,21.25,46.25,33.75,20,25,53.75,21.25,7.5,88.75,3.75,50,18.75,31.25,35,32.5,32.5,30,20,50,15,66.25,18.75,32.5,58.75,8.75,16.25,22.5,61.25,20,18.75,61.25,20,51.25,28.75,20,40,40,38.75,30,31.25,48.75,48.75,2.5,38.75,38.75,22.5,40,31.25,28.75,15,63.75,21.25,30,35,35,18.75,61.25,20,21.25,52.5,26.25,22.5,51.25,26.25,17.5,35,47.5,1
DLG5,Q8TDM6,40,32.5,27.5,36.25,46.25,17.5,27.5,31.25,41.25,31.25,51.25,17.5,12.5,70,17.5,47.5,40,12.5,76.25,7.5,16.25,45,25,30,25,66.25,8.75,38.75,57.5,3.75,23.75,22.5,53.75,36.25,10,53.75,41.25,35,23.75,37.5,37.5,25,21.25,55,23.75,30,51.25,18.75,33.75,58.75,7.5,35,41.25,23.75,16.25,46.25,37.5,25,33.75,41.25,28.75,67.5,3.75,3.75,41.25,55,6.25,37.5,56.25,26.25,25,48.75,1
PTPN13,Q12923,27.5,36.25,36.25,38.75,46.25,15,36.25,35,28.75,33.75,51.25,15,5,81.25,13.75,50,27.5,22.5,48.75,21.25,30,32.5,26.25,41.25,27.5,61.25,11.25,22.5,73.75,3.75,15,31.25,53.75,27.5,18.75,53.75,28.75,41.25,30,37.5,37.5,25,26.25,51.25,22.5,26.25,57.5,16.25,33.75,60,6.25,35,47.5,17.5,7.5,66.25,26.25,27.5,36.25,36.25,25,65,10,8.75,50,41.25,10,55,35,18.75,33.75,47.5,1
GCKR,Q14397,36.25,37.5,26.25,38.75,42.5,18.75,30,32.5,37.5,31.25,50,18.75,8.75,73.75,17.5,38.75,36.25,25,48.75,25,26.25,33.75,31.25,35,20,68.75,11.25,30,61.25,8.75,20,35,45,32.5,22.5,45,37.5,41.25,21.25,40,40,20,35,50,15,32.5,43.75,23.75,41.25,50,8.75,42.5,45,12.5,15,52.5,32.5,28.75,38.75,32.5,25,60,15,10,42.5,47.5,11.25,46.25,42.5,26.25,33.75,40,1
KCNE4,Q8WWG9,23.75,51.25,25,51.25,33.75,15,26.25,47.5,26.25,42.5,42.5,15,6.25,86.25,7.5,42.5,23.75,33.75,45,17.5,37.5,40,27.5,32.5,33.75,60,6.25,35,61.25,3.75,18.75,27.5,53.75,23.75,22.5,53.75,26.25,55,18.75,40,41.25,18.75,27.5,55,17.5,26.25,63.75,10,46.25,41.25,12.5,48.75,35,16.25,13.75,60,26.25,36.25,38.75,25,30,60,10,6.25,55,38.75,10,55,35,15,37.5,47.5,1
TYK2,P29597,17.5,47.5,35,47.5,27.5,25,35,42.5,22.5,36.25,38.75,25,6.25,86.25,7.5,55,17.5,27.5,43.75,25,31.25,38.75,20,41.25,30,58.75,11.25,37.5,60,2.5,15,20,65,18.75,16.25,65,22.5,51.25,26.25,31.25,43.75,25,31.25,51.25,17.5,32.5,55,12.5,32.5,51.25,16.25,37.5,46.25,16.25,16.25,58.75,25,38.75,36.25,25,23.75,62.5,13.75,16.25,43.75,40,21.25,45,33.75,15,32.5,52.5,1
SLC22A12,Q96S37,16.25,40,43.75,43.75,38.75,17.5,43.75,38.75,17.5,35,47.5,17.5,2.5,91.25,6.25,53.75,16.25,30,47.5,23.75,28.75,30,22.5,47.5,28.75,61.25,10,25,72.5,2.5,11.25,26.25,62.5,17.5,20,62.5,17.5,46.25,36.25,28.75,37.5,33.75,23.75,51.25,25,32.5,58.75,8.75,31.25,53.75,15,32.5,41.25,26.25,10,66.25,23.75,31.25,37.5,31.25,27.5,57.5,15,11.25,55,33.75,17.5,53.75,28.75,10,40,50,1
CCHCR1,Q8TD31,30,45,25,48.75,26.25,25,25,42.5,32.5,33.75,41.25,25,12.5,77.5,10,31.25,30,38.75,40,20,40,38.75,21.25,40,21.25,60,18.75,28.75,65,6.25,22.5,31.25,46.25,32.5,21.25,46.25,32.5,47.5,20,30,52.5,17.5,42.5,45,12.5,51.25,42.5,6.25,45,36.25,18.75,47.5,41.25,11.25,18.75,62.5,18.75,41.25,36.25,22.5,37.5,50,12.5,8.75,51.25,40,12.5,46.25,41.25,25,35,40,1
SLC30A8,Q8IWU4,36.25,40,23.75,37.5,32.5,30,30,31.25,38.75,28.75,41.25,30,13.75,71.25,15,35,36.25,28.75,53.75,22.5,23.75,31.25,37.5,31.25,22.5,63.75,13.75,36.25,55,8.75,23.75,33.75,42.5,28.75,28.75,42.5,38.75,45,16.25,42.5,32.5,25,36.25,48.75,15,32.5,43.75,23.75,43.75,43.75,12.5,46.25,38.75,15,26.25,41.25,32.5,40,30,30,31.25,58.75,10,16.25,36.25,47.5,20,35,45,27.5,40,32.5,1
TBXAS1,P24557,22.5,37.5,40,33.75,36.25,30,43.75,32.5,23.75,26.25,43.75,30,11.25,82.5,6.25,51.25,22.5,26.25,50,25,25,26.25,25,48.75,22.5,58.75,18.75,31.25,65,3.75,17.5,23.75,58.75,17.5,23.75,58.75,23.75,42.5,33.75,33.75,28.75,37.5,28.75,46.25,25,32.5,53.75,13.75,40,48.75,11.25,41.25,35,23.75,20,62.5,17.5,38.75,30,31.25,26.25,65,8.75,16.25,51.25,32.5,20,47.5,32.5,16.25,37.5,46.25,1
PARK2,O60260,38.75,23.75,37.5,30,43.75,26.25,37.5,21.25,41.25,25,48.75,26.25,12.5,75,12.5,43.75,38.75,17.5,41.25,32.5,26.25,40,20,40,15,68.75,16.25,25,67.5,7.5,28.75,23.75,47.5,36.25,16.25,47.5,41.25,36.25,22.5,35,47.5,17.5,38.75,41.25,20,41.25,42.5,16.25,40,52.5,7.5,42.5,48.75,8.75,17.5,62.5,20,31.25,36.25,32.5,33.75,53.75,12.5,12.5,38.75,48.75,15,50,35,22.5,40,37.5,1
HOXB13,Q92826,17.5,61.25,21.25,60,26.25,13.75,25,53.75,21.25,38.75,47.5,13.75,3.75,88.75,7.5,43.75,17.5,38.75,38.75,17.5,43.75,40,18.75,41.25,30,65,5,36.25,56.25,7.5,13.75,21.25,65,18.75,16.25,65,21.25,65,13.75,30,51.25,18.75,38.75,43.75,17.5,35,57.5,7.5,36.25,40,23.75,40,45,15,13.75,58.75,27.5,31.25,43.75,25,17.5,73.75,8.75,10,41.25,48.75,12.5,46.25,41.25,16.25,23.75,60,1
MYOC,Q99972,28.75,37.5,33.75,46.25,32.5,21.25,35,35,30,33.75,45,21.25,8.75,83.75,7.5,43.75,28.75,27.5,45,26.25,28.75,38.75,28.75,32.5,26.25,58.75,15,33.75,61.25,5,22.5,26.25,51.25,28.75,20,51.25,30,50,20,33.75,38.75,27.5,26.25,51.25,22.5,43.75,50,6.25,42.5,41.25,16.25,43.75,36.25,20,15,56.25,28.75,32.5,37.5,30,35,51.25,13.75,16.25,45,38.75,20,43.75,36.25,17.5,47.5,35,1
MYOZ2,Q9NPC6,43.75,28.75,27.5,28.75,33.75,37.5,30,22.5,47.5,27.5,35,37.5,18.75,70,11.25,28.75,43.75,27.5,57.5,17.5,25,43.75,25,31.25,17.5,66.25,16.25,32.5,58.75,8.75,36.25,25,38.75,38.75,22.5,38.75,47.5,28.75,23.75,40,37.5,22.5,41.25,47.5,11.25,41.25,41.25,17.5,51.25,38.75,10,55,28.75,16.25,33.75,46.25,20,46.25,31.25,22.5,47.5,45,7.5,10,51.25,38.75,18.75,42.5,38.75,27.5,46.25,26.25,1
ASB10,Q8WXI3,25,46.25,28.75,52.5,28.75,18.75,28.75,43.75,27.5,40,41.25,18.75,10,77.5,12.5,46.25,25,28.75,43.75,20,36.25,36.25,30,33.75,31.25,58.75,10,37.5,57.5,5,15,30,55,23.75,21.25,55,27.5,53.75,18.75,36.25,43.75,20,31.25,48.75,20,32.5,53.75,13.75,38.75,46.25,15,41.25,42.5,16.25,15,56.25,28.75,40,27.5,32.5,28.75,58.75,12.5,10,47.5,42.5,12.5,50,37.5,21.25,31.25,47.5,1
JPH2,Q9BR39,23.75,53.75,22.5,51.25,17.5,31.25,27.5,45,27.5,46.25,22.5,31.25,8.75,81.25,10,52.5,23.75,23.75,28.75,28.75,42.5,47.5,25,27.5,37.5,41.25,21.25,47.5,43.75,8.75,17.5,32.5,50,22.5,27.5,50,27.5,55,17.5,50,26.25,23.75,33.75,58.75,7.5,33.75,53.75,12.5,57.5,36.25,6.25,61.25,32.5,6.25,18.75,60,21.25,58.75,23.75,17.5,22.5,62.5,15,23.75,50,26.25,25,51.25,23.75,22.5,37.5,40,1
GBA,P04062,17.5,48.75,33.75,53.75,26.25,20,37.5,45,17.5,37.5,42.5,20,6.25,85,8.75,45,17.5,37.5,32.5,31.25,36.25,23.75,35,41.25,30,53.75,16.25,31.25,62.5,6.25,8.75,35,56.25,16.25,27.5,56.25,17.5,61.25,21.25,32.5,38.75,28.75,27.5,51.25,21.25,38.75,51.25,10,40,41.25,18.75,40,42.5,17.5,12.5,60,27.5,36.25,33.75,30,26.25,58.75,15,17.5,47.5,35,20,48.75,31.25,17.5,41.25,41.25,1
FLCN,Q8NFG4,31.25,46.25,22.5,48.75,33.75,17.5,22.5,41.25,36.25,36.25,46.25,17.5,6.25,77.5,16.25,38.75,31.25,30,47.5,15,37.5,41.25,31.25,27.5,30,63.75,6.25,32.5,63.75,3.75,20,28.75,51.25,33.75,15,51.25,36.25,48.75,15,45,38.75,16.25,30,56.25,13.75,31.25,51.25,17.5,38.75,45,16.25,43.75,42.5,13.75,15,53.75,31.25,36.25,33.75,30,30,61.25,8.75,11.25,43.75,45,15,43.75,41.25,25,33.75,41.25,1
SCO2,O43819,20,48.75,31.25,46.25,33.75,20,31.25,46.25,22.5,38.75,41.25,20,11.25,87.5,1.25,56.25,20,23.75,55,15,30,46.25,15,38.75,31.25,53.75,15,45,55,0,21.25,17.5,61.25,21.25,17.5,61.25,22.5,47.5,30,32.5,38.75,28.75,26.25,50,23.75,31.25,65,3.75,48.75,42.5,8.75,51.25,25,23.75,15,67.5,17.5,41.25,33.75,25,27.5,60,12.5,7.5,65,27.5,8.75,55,36.25,13.75,27.5,58.75,1
ACACA,Q13085,31.25,38.75,30,45,43.75,11.25,30,36.25,33.75,40,48.75,11.25,5,76.25,18.75,37.5,31.25,31.25,43.75,12.5,43.75,31.25,33.75,35,30,66.25,3.75,16.25,75,8.75,15,40,45,31.25,23.75,45,33.75,40,26.25,46.25,33.75,20,31.25,48.75,20,23.75,57.5,18.75,40,52.5,7.5,42.5,38.75,18.75,10,66.25,23.75,36.25,25,38.75,33.75,58.75,7.5,3.75,58.75,37.5,6.25,66.25,27.5,23.75,35,41.25,1
MYBPC3,Q14896,30,51.25,18.75,50,26.25,23.75,21.25,47.5,31.25,42.5,33.75,23.75,15,73.75,11.25,41.25,30,28.75,43.75,23.75,32.5,38.75,32.5,28.75,33.75,52.5,13.75,45,50,5,20,31.25,48.75,23.75,27.5,48.75,31.25,60,8.75,41.25,48.75,10,32.5,55,12.5,27.5,55,17.5,48.75,42.5,8.75,50,46.25,3.75,20,50,30,42.5,33.75,23.75,30,61.25,8.75,7.5,41.25,51.25,8.75,45,46.25,22.5,32.5,45,1
MRAP2,Q96G30,23.75,42.5,33.75,36.25,36.25,27.5,40,33.75,26.25,33.75,38.75,27.5,6.25,85,8.75,45,23.75,31.25,37.5,36.25,26.25,30,27.5,42.5,25,56.25,18.75,26.25,65,8.75,17.5,35,47.5,22.5,30,47.5,26.25,47.5,26.25,36.25,37.5,26.25,32.5,52.5,15,31.25,52.5,16.25,45,50,5,47.5,42.5,10,17.5,60,22.5,37.5,38.75,23.75,27.5,57.5,15,18.75,46.25,35,21.25,51.25,27.5,20,42.5,37.5,1
GALNT12,Q8IXK2,28.75,47.5,23.75,48.75,27.5,23.75,23.75,47.5,28.75,33.75,42.5,23.75,20,73.75,6.25,51.25,28.75,20,60,10,30,52.5,11.25,36.25,31.25,47.5,21.25,53.75,46.25,0,22.5,11.25,66.25,28.75,5,66.25,28.75,53.75,17.5,23.75,57.5,18.75,36.25,43.75,20,40,53.75,6.25,40,42.5,17.5,40,42.5,17.5,22.5,51.25,26.25,38.75,35,26.25,25,70,5,2.5,55,42.5,5,37.5,57.5,26.25,11.25,62.5,1
SCNN1B,P51168,25,33.75,41.25,28.75,33.75,37.5,47.5,23.75,28.75,21.25,41.25,37.5,15,80,5,50,25,25,46.25,36.25,17.5,25,27.5,47.5,13.75,66.25,20,36.25,56.25,7.5,23.75,26.25,50,17.5,32.5,50,28.75,38.75,32.5,30,32.5,37.5,43.75,32.5,23.75,33.75,46.25,20,42.5,47.5,10,46.25,32.5,21.25,27.5,53.75,18.75,43.75,27.5,28.75,26.25,52.5,21.25,23.75,45,31.25,26.25,45,28.75,18.75,41.25,40,1
PTPRJ,Q12913,22.5,50,27.5,51.25,35,13.75,27.5,48.75,23.75,37.5,48.75,13.75,8.75,85,6.25,46.25,22.5,31.25,45,21.25,33.75,36.25,25,38.75,27.5,63.75,8.75,38.75,60,1.25,17.5,23.75,58.75,21.25,20,58.75,23.75,53.75,22.5,32.5,48.75,18.75,32.5,48.75,18.75,30,57.5,12.5,42.5,42.5,15,43.75,40,16.25,11.25,62.5,26.25,30,45,25,23.75,60,16.25,5,55,40,6.25,52.5,41.25,13.75,31.25,55,1
MKKS,Q9NPJ1,21.25,46.25,32.5,43.75,33.75,22.5,35,40,25,35,42.5,22.5,13.75,82.5,3.75,41.25,21.25,37.5,45,28.75,26.25,23.75,40,36.25,23.75,66.25,10,38.75,58.75,2.5,21.25,31.25,47.5,17.5,35,47.5,25,52.5,22.5,35,40,25,30,43.75,26.25,22.5,62.5,15,51.25,38.75,10,55,23.75,21.25,21.25,56.25,22.5,41.25,28.75,30,35,46.25,18.75,11.25,60,28.75,12.5,58.75,28.75,16.25,42.5,41.25,1
MSH3,P20585,15,71.25,13.75,72.5,13.75,13.75,13.75,70,16.25,57.5,28.75,13.75,7.5,90,2.5,48.75,15,36.25,50,11.25,38.75,50,21.25,28.75,51.25,40,8.75,47.5,50,2.5,13.75,21.25,65,13.75,21.25,65,16.25,73.75,10,28.75,61.25,10,26.25,65,8.75,32.5,65,2.5,37.5,46.25,16.25,38.75,55,6.25,10,53.75,36.25,31.25,57.5,11.25,30,66.25,3.75,5,36.25,58.75,6.25,36.25,57.5,8.75,31.25,60,1
ARVCF,O00192,35,37.5,27.5,37.5,43.75,18.75,27.5,35,37.5,31.25,50,18.75,8.75,80,11.25,41.25,35,23.75,62.5,12.5,25,45,23.75,31.25,28.75,61.25,10,30,68.75,1.25,26.25,23.75,50,36.25,13.75,50,37.5,42.5,20,43.75,36.25,20,21.25,60,18.75,36.25,51.25,12.5,42.5,46.25,11.25,45,37.5,17.5,16.25,58.75,25,35,35,30,40,55,5,6.25,45,48.75,11.25,40,48.75,21.25,36.25,42.5,1
SLC2A9,Q9NRM0,26.25,46.25,27.5,48.75,28.75,22.5,30,41.25,28.75,40,37.5,22.5,12.5,80,7.5,47.5,26.25,26.25,42.5,17.5,40,43.75,22.5,33.75,32.5,52.5,15,38.75,53.75,7.5,21.25,25,53.75,25,21.25,53.75,28.75,52.5,18.75,36.25,40,23.75,35,42.5,22.5,31.25,62.5,6.25,47.5,42.5,10,50,32.5,17.5,18.75,60,21.25,43.75,26.25,30,28.75,65,6.25,11.25,55,33.75,12.5,56.25,31.25,21.25,31.25,47.5,1
SLC45A2,Q9UMX9,17.5,47.5,35,45,28.75,26.25,40,40,20,35,38.75,26.25,7.5,85,7.5,45,17.5,37.5,37.5,27.5,35,28.75,23.75,47.5,28.75,55,16.25,26.25,65,8.75,12.5,30,57.5,17.5,25,57.5,20,53.75,26.25,30,42.5,27.5,35,46.25,18.75,36.25,52.5,11.25,38.75,46.25,15,41.25,42.5,16.25,20,61.25,18.75,42.5,31.25,26.25,30,60,10,15,50,35,20,51.25,28.75,20,33.75,46.25,1
FCAR,P24071,32.5,30,37.5,35,41.25,23.75,40,27.5,32.5,25,51.25,23.75,12.5,78.75,8.75,43.75,32.5,23.75,46.25,30,23.75,31.25,26.25,42.5,16.25,70,13.75,31.25,62.5,6.25,23.75,23.75,52.5,26.25,21.25,52.5,32.5,37.5,30,33.75,40,26.25,38.75,42.5,18.75,40,38.75,21.25,42.5,43.75,13.75,42.5,38.75,18.75,18.75,58.75,22.5,31.25,41.25,27.5,31.25,48.75,20,11.25,50,38.75,15,47.5,37.5,17.5,41.25,41.25,1
PTPN1,P18031,47.5,28.75,23.75,31.25,35,33.75,27.5,21.25,51.25,26.25,40,33.75,17.5,63.75,18.75,28.75,47.5,23.75,51.25,20,28.75,41.25,28.75,30,17.5,65,17.5,27.5,60,12.5,32.5,32.5,35,42.5,22.5,35,51.25,28.75,20,40,42.5,17.5,52.5,40,7.5,40,33.75,26.25,42.5,48.75,8.75,46.25,45,8.75,28.75,43.75,27.5,40,33.75,26.25,38.75,51.25,10,13.75,40,46.25,17.5,38.75,43.75,35,38.75,26.25,1
SCN2B,O60939,23.75,38.75,37.5,41.25,33.75,25,40,33.75,26.25,28.75,46.25,25,5,87.5,7.5,42.5,23.75,33.75,35,32.5,32.5,28.75,28.75,42.5,18.75,63.75,17.5,26.25,68.75,5,18.75,31.25,50,25,25,50,26.25,47.5,26.25,31.25,35,33.75,32.5,45,22.5,38.75,55,6.25,40,43.75,16.25,42.5,37.5,20,13.75,61.25,25,31.25,38.75,30,23.75,60,16.25,21.25,48.75,30,25,50,25,16.25,50,33.75,1
POP1,Q99575,41.25,43.75,15,40,30,30,15,37.5,47.5,31.25,38.75,30,17.5,73.75,8.75,23.75,41.25,35,50,13.75,36.25,43.75,32.5,23.75,23.75,66.25,10,35,62.5,2.5,38.75,25,36.25,37.5,26.25,36.25,47.5,43.75,8.75,50,41.25,8.75,41.25,50,8.75,33.75,50,16.25,56.25,31.25,12.5,62.5,31.25,6.25,27.5,53.75,18.75,46.25,36.25,17.5,47.5,47.5,5,8.75,43.75,47.5,12.5,41.25,46.25,22.5,47.5,30,1
SERPINI2,O75830,32.5,30,37.5,32.5,46.25,21.25,38.75,27.5,33.75,30,48.75,21.25,8.75,82.5,8.75,46.25,32.5,21.25,50,28.75,21.25,33.75,27.5,38.75,20,68.75,11.25,27.5,67.5,5,25,26.25,48.75,27.5,23.75,48.75,33.75,36.25,30,40,33.75,26.25,26.25,52.5,21.25,32.5,50,17.5,45,50,5,46.25,36.25,17.5,13.75,63.75,22.5,28.75,41.25,30,33.75,51.25,15,11.25,47.5,41.25,13.75,52.5,33.75,13.75,47.5,38.75,1
LRRK2,Q5S007,36.25,25,38.75,27.5,53.75,18.75,41.25,21.25,37.5,23.75,57.5,18.75,10,76.25,13.75,45,36.25,18.75,50,28.75,21.25,30,30,40,16.25,75,8.75,25,68.75,6.25,23.75,27.5,48.75,31.25,20,48.75,37.5,37.5,25,41.25,35,23.75,28.75,43.75,27.5,27.5,50,22.5,41.25,52.5,6.25,42.5,38.75,18.75,16.25,60,23.75,28.75,30,41.25,30,57.5,12.5,8.75,46.25,45,11.25,55,33.75,21.25,37.5,41.25,1
CTSD,P07339,21.25,45,33.75,42.5,37.5,20,38.75,38.75,22.5,31.25,48.75,20,8.75,83.75,7.5,45,21.25,33.75,45,26.25,28.75,27.5,25,47.5,25,65,10,28.75,63.75,7.5,15,26.25,58.75,17.5,23.75,58.75,22.5,55,22.5,30,46.25,23.75,33.75,42.5,23.75,31.25,53.75,15,37.5,47.5,15,38.75,43.75,17.5,18.75,58.75,22.5,33.75,35,31.25,27.5,62.5,10,8.75,45,46.25,12.5,50,37.5,17.5,30,52.5,1
MMP9,P14780,27.5,33.75,38.75,33.75,43.75,22.5,43.75,28.75,27.5,26.25,51.25,22.5,11.25,81.25,7.5,48.75,27.5,23.75,56.25,22.5,21.25,32.5,21.25,46.25,18.75,63.75,17.5,31.25,61.25,7.5,20,25,55,25,20,55,27.5,42.5,30,28.75,33.75,37.5,26.25,41.25,32.5,37.5,55,7.5,42.5,47.5,10,42.5,28.75,28.75,18.75,60,21.25,32.5,27.5,40,27.5,63.75,8.75,11.25,53.75,35,13.75,51.25,35,21.25,31.25,47.5,1
C5,P01031,23.75,41.25,35,36.25,36.25,27.5,41.25,32.5,26.25,32.5,40,27.5,8.75,83.75,7.5,47.5,23.75,28.75,35,37.5,27.5,27.5,30,42.5,25,58.75,16.25,28.75,62.5,8.75,18.75,31.25,50,18.75,31.25,50,26.25,46.25,27.5,40,35,25,36.25,48.75,15,28.75,48.75,22.5,47.5,47.5,5,50,40,10,18.75,62.5,18.75,40,37.5,22.5,28.75,53.75,17.5,18.75,47.5,33.75,20,53.75,26.25,17.5,42.5,40,1
KLK3,P07288,16.25,37.5,46.25,36.25,41.25,22.5,46.25,32.5,21.25,27.5,50,22.5,8.75,88.75,2.5,61.25,16.25,22.5,41.25,36.25,22.5,32.5,20,47.5,23.75,62.5,13.75,32.5,67.5,0,18.75,20,61.25,18.75,20,61.25,21.25,51.25,27.5,26.25,48.75,25,32.5,36.25,31.25,27.5,61.25,11.25,33.75,56.25,10,38.75,43.75,17.5,15,67.5,17.5,37.5,28.75,33.75,26.25,53.75,20,16.25,47.5,36.25,17.5,55,27.5,13.75,31.25,55,1
NCF2,P19878,31.25,33.75,35,37.5,32.5,30,37.5,28.75,33.75,33.75,36.25,30,12.5,76.25,11.25,47.5,31.25,21.25,48.75,27.5,23.75,38.75,25,36.25,23.75,61.25,15,36.25,55,8.75,22.5,26.25,51.25,26.25,22.5,51.25,33.75,38.75,27.5,31.25,42.5,26.25,38.75,45,16.25,32.5,48.75,18.75,37.5,53.75,8.75,40,43.75,16.25,22.5,47.5,30,36.25,36.25,27.5,28.75,56.25,15,15,45,40,20,46.25,33.75,21.25,40,38.75,1
NAT2,P11245,36.25,26.25,37.5,26.25,46.25,27.5,41.25,18.75,40,22.5,50,27.5,10,76.25,13.75,46.25,36.25,17.5,51.25,27.5,21.25,41.25,18.75,40,13.75,68.75,17.5,28.75,62.5,8.75,26.25,25,48.75,37.5,13.75,48.75,40,28.75,31.25,31.25,38.75,30,41.25,38.75,20,35,46.25,18.75,37.5,55,7.5,41.25,38.75,20,21.25,52.5,26.25,31.25,35,33.75,23.75,60,16.25,16.25,51.25,32.5,20,48.75,31.25,28.75,32.5,38.75,1
NOS3,P29474,20,57.5,22.5,58.75,28.75,12.5,22.5,56.25,21.25,33.75,53.75,12.5,7.5,86.25,6.25,42.5,20,37.5,38.75,13.75,47.5,31.25,26.25,42.5,30,65,5,35,65,0,15,20,65,16.25,18.75,65,21.25,62.5,16.25,40,42.5,17.5,36.25,46.25,17.5,35,52.5,12.5,40,33.75,26.25,41.25,43.75,15,10,70,20,33.75,42.5,23.75,22.5,68.75,8.75,6.25,45,48.75,7.5,45,47.5,10,30,60,1
PPP1R3A,Q16821,33.75,38.75,27.5,47.5,33.75,18.75,28.75,37.5,33.75,37.5,43.75,18.75,7.5,73.75,18.75,32.5,33.75,33.75,30,25,45,27.5,36.25,36.25,25,60,15,18.75,71.25,10,15,42.5,42.5,31.25,26.25,42.5,33.75,47.5,18.75,43.75,37.5,18.75,32.5,52.5,15,38.75,46.25,15,43.75,45,11.25,43.75,47.5,8.75,10,65,25,33.75,32.5,33.75,31.25,61.25,7.5,11.25,46.25,42.5,12.5,56.25,31.25,25,43.75,31.25,1
MLH1,P40692,38.75,23.75,37.5,32.5,48.75,18.75,37.5,23.75,38.75,28.75,52.5,18.75,13.75,71.25,15,50,38.75,11.25,43.75,32.5,23.75,38.75,25,36.25,18.75,71.25,10,35,58.75,6.25,23.75,22.5,53.75,32.5,13.75,53.75,38.75,36.25,25,36.25,50,13.75,40,41.25,18.75,27.5,43.75,28.75,38.75,55,6.25,38.75,50,11.25,16.25,55,28.75,27.5,38.75,33.75,25,55,20,5,50,45,7.5,56.25,36.25,22.5,31.25,46.25,1
OCA2,Q04671,23.75,57.5,18.75,56.25,21.25,22.5,20,52.5,27.5,46.25,31.25,22.5,12.5,80,7.5,46.25,23.75,30,48.75,12.5,38.75,48.75,23.75,27.5,41.25,43.75,15,45,51.25,3.75,20,25,55,25,20,55,27.5,58.75,13.75,38.75,45,16.25,30,56.25,13.75,32.5,60,7.5,47.5,41.25,11.25,51.25,37.5,11.25,18.75,56.25,25,47.5,31.25,21.25,33.75,61.25,5,10,50,40,11.25,45,43.75,22.5,27.5,50,1
